1,0,7519
2,1,4002
3,2,1472
4,3,642
5,4,529
6,5,1016
7,6,5309
8,7,24500
9,8,248576
10,9,652559
11,10,792171
12,11,696176
13,12,506084
14,13,365514
15,14,377358
16,15,459204
17,16,428798
18,17,306371
19,18,194240
20,19,116051
21,20,76658
22,21,49663
23,22,31510
24,23,16458
25,0,7200
26,1,3308
27,2,1544
28,3,800
29,4,381
30,5,727
31,6,4909
32,7,28287
33,8,275256
34,9,635199
35,10,734247
36,11,610948
37,12,432090
38,13,314097
39,14,346277
40,15,416096
41,16,377934
42,17,254249
43,18,151323
44,19,87636
45,20,52172
46,21,30716
47,22,17705
48,23,10356
49,0,4836
50,1,1458
51,2,634
52,3,518
53,4,350
54,5,765
55,6,4704
56,7,31389
57,8,294118
58,9,679103
59,10,770857
60,11,654011
61,12,486439
62,13,347089
63,14,350800
64,15,421422
65,16,381614
66,17,274306
67,18,180221
68,19,105689
69,20,64136
70,21,40211
71,22,22074
72,23,10822
73,0,5253
74,1,1592
75,2,650
76,3,241
77,4,277
78,5,743
79,6,4379
80,7,26831
81,8,324310
82,9,723150
83,10,797506
84,11,649926
85,12,442302
86,13,314882
87,14,347651
88,15,413199
89,16,369901
90,17,252282
91,18,156903
92,19,83865
93,20,48844
94,21,28293
95,22,13978
96,23,7785
97,0,3404
98,1,1940
99,2,718
100,3,418
101,4,325
102,5,672
103,6,3637
104,7,23302
105,8,292949
106,9,709077
107,10,812773
108,11,666893
109,12,452514
110,13,318928
111,14,339188
112,15,422581
113,16,387532
114,17,271965
115,18,168257
116,19,89642
117,20,49362
118,21,28725
119,22,15231
120,23,7646
121,0,3014
122,1,1147
123,2,396
124,3,193
125,4,79
126,5,532
127,6,2970
128,7,23596
129,8,283149
130,9,711086
131,10,821526
132,11,695312
133,12,486874
134,13,346497
135,14,360044
136,15,461318
137,16,429894
138,17,315013
139,18,195111
140,19,108236
141,20,57179
142,21,33989
143,22,19680
144,23,9468
145,0,3359
146,1,2289
147,2,709
148,3,427
149,4,333
150,5,568
151,6,3369
152,7,21308
153,8,292943
154,9,766654
155,10,876443
156,11,746174
157,12,533202
158,13,373957
159,14,381123
160,15,474896
161,16,468663
162,17,367673
163,18,251676
164,19,147563
165,20,83738
166,21,49813
167,22,24147
168,23,11288
169,24,24
170,0,4884
171,1,1926
172,2,1306
173,3,242
174,4,259
175,5,593
176,6,4145
177,7,21343
178,8,268307
179,9,746768
180,10,898831
181,11,790549
182,12,566921
183,13,397156
184,14,386014
185,15,500668
186,16,515344
187,17,394291
188,18,254572
189,19,143858
190,20,87533
191,21,52520
192,22,28716
193,23,12457
194,0,5216
195,1,2287
196,2,1404
197,3,327
198,4,270
199,5,664
200,6,5300
201,7,25918
202,8,270953
203,9,706917
204,10,863396
205,11,764413
206,12,553051
207,13,389794
208,14,381069
209,15,493398
210,16,499142
211,17,381146
212,18,244780
213,19,145698
214,20,87860
215,21,54575
216,22,28250
217,23,13099
218,0,5461
219,1,2511
220,2,913
221,3,289
222,4,426
223,5,722
224,6,6080
225,7,34091
226,8,320208
227,9,750372
228,10,870854
229,11,742882
230,12,586360
231,13,413963
232,14,375727
233,15,452490
234,16,440036
235,17,351952
236,18,253486
237,19,152283
238,20,86304
239,21,52761
240,22,29205
241,23,13693
242,0,4699
243,1,2112
244,2,1254
245,3,395
246,4,309
247,5,827
248,6,5246
249,7,29133
250,8,345631
251,9,787526
252,10,879538
253,11,722532
254,12,500031
255,13,341551
256,14,357633
257,15,446472
258,16,406441
259,17,294468
260,18,189235
261,19,104562
262,20,59665
263,21,36029
264,22,18569
265,23,8099
266,0,3341
267,1,2175
268,2,613
269,3,309
270,4,384
271,5,443
272,6,4441
273,7,27092
274,8,338098
275,9,790598
276,10,884528
277,11,721360
278,12,498068
279,13,335522
280,14,354575
281,15,453896
282,16,408521
283,17,288551
284,18,173319
285,19,91825
286,20,51579
287,21,30059
288,22,13341
289,23,6466
290,0,2723
291,1,1464
292,2,390
293,3,194
294,4,265
295,5,562
296,6,3982
297,7,24268
298,8,312289
299,9,771942
300,10,886298
301,11,731329
302,12,511543
303,13,341048
304,14,352367
305,15,445592
306,16,411782
307,17,286918
308,18,177461
309,19,95431
310,20,49118
311,21,28410
312,22,13199
313,23,6236
314,0,3278
315,1,963
316,2,358
317,3,202
318,4,323
319,5,526
320,6,4195
321,7,27025
322,8,322814
323,9,776809
324,10,885702
325,11,733406
326,12,499398
327,13,341897
328,14,351395
329,15,453782
330,16,432241
331,17,303983
332,18,188438
333,19,97491
334,20,51982
335,21,30586
336,22,14292
337,23,6327
338,0,2589
339,1,966
340,2,391
341,3,307
342,4,191
343,5,482
344,6,3718
345,7,24359
346,8,314204
347,9,764502
348,10,875805
349,11,723328
350,12,497476
351,13,338417
352,14,356988
353,15,459045
354,16,423448
355,17,279400
356,18,154880
357,19,80009
358,20,40906
359,21,23146
360,22,11277
361,23,5194
362,0,2076
363,1,837
364,2,172
365,3,181
366,4,144
367,5,417
368,6,3197
369,7,26294
370,8,303426
371,9,707240
372,10,825133
373,11,689536
374,12,469485
375,13,329271
376,14,356515
377,15,448139
378,16,401670
379,17,259186
380,18,145790
381,19,76748
382,20,39885
383,21,23572
384,22,11390
385,23,5629
386,0,2166
387,1,1110
388,2,400
389,3,180
390,4,250
391,5,460
392,6,3426
393,7,34334
394,8,349612
395,9,765151
396,10,834877
397,11,683447
398,12,495458
399,13,337530
400,14,345509
401,15,414556
402,16,366725
403,17,246814
404,18,149951
405,19,81553
406,20,41111
407,21,21885
408,22,11448
409,23,4758
410,0,1952
411,1,614
412,2,394
413,3,131
