1,87
2,141
3,175
4,777
5,7173
6,75679
7,581463
8,1133479
9,1241181
10,984258
11,635695
12,411085
13,478968
14,645566
15,575354
16,378264
17,212642
18,98397
19,44236
20,20152
21,7960
22,3336
23,1266
24,426
25,292
26,84
27,175
28,758
29,6894
30,70510
31,567065
32,1122799
33,1274714
34,1039465
35,679934
36,435455
37,479464
38,653473
39,591463
40,388817
41,216830
42,98751
43,46650
44,20958
45,8478
46,3311
47,964
48,666
49,154
50,131
51,269
52,1247
53,7737
54,76104
55,597603
56,1153344
57,1279144
58,1033168
59,669014
60,432271
61,479833
62,626623
63,562196
64,362984
65,194493
66,92929
67,44480
68,21272
69,10027
70,2847
71,1119
72,444
73,197
74,22
75,102
76,889
77,6666
78,79927
79,578983
80,1119681
81,1234603
82,985384
83,624890
84,408518
85,476550
86,659975
87,594289
88,367886
89,187096
90,85843
91,41886
92,20950
93,8713
94,3671
95,1426
96,610
97,375
98,169
99,245
100,1301
101,8740
102,110048
103,679983
104,1162841
105,1223691
106,947239
107,594311
108,421630
109,538973
110,683333
111,597711
112,384703
113,229264
114,136062
115,87391
116,64526
117,38565
118,20554
119,1
120,8555
121,5039
122,3933
123,3621
124,5744
125,19155
126,94194
127,361597
128,1039269
129,1369631
130,1323897
131,1039081
132,791689
133,630543
134,717022
135,848015
136,827039
137,302912
138,691910
139,547763
140,399013
141,309395
142,222655
143,132901
144,79206
145,44794
146,28681
147,20499
148,24887
149,62117
150,195073
151,549436
152,1273873
153,1522608
154,1408361
155,1170415
156,959688
157,786106
158,784077
159,844936
160,882123
161,911727
162,946813
163,869411
164,761419
165,649970
166,494393
167,302113
